sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:40:35.662711+00:00;P0;14.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:40:48.161176+00:00;humidity;55.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:40:48.161176+00:00;temperature;33.10
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:43:39.002867+00:00;P2;15.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:43:39.002867+00:00;P1;15.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:43:39.002867+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:43:57.602622+00:00;humidity;57.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:43:57.602622+00:00;temperature;32.90
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:46:36.066926+00:00;P2;17.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:46:36.066926+00:00;P1;17.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:46:36.066926+00:00;P0;13.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:46:48.612683+00:00;humidity;57.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:46:48.612683+00:00;temperature;32.90
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:49:51.177206+00:00;P2;13.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:49:51.177206+00:00;P1;14.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:49:51.177206+00:00;P0;9.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:52:25.109823+00:00;P2;13.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:52:25.109823+00:00;P1;13.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:52:25.109823+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:52:37.617361+00:00;humidity;56.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:52:37.617361+00:00;temperature;33.20
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:55:21.342521+00:00;P2;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:55:21.342521+00:00;P1;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:55:21.342521+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:55:39.892577+00:00;humidity;58.10
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:55:39.892577+00:00;temperature;32.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:58:17.752519+00:00;P2;13.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:58:17.752519+00:00;P1;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T16:58:17.752519+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:58:30.332542+00:00;humidity;59.40
4842;DHT22;3620;6.679;-1.574;2023-10-23T16:58:30.332542+00:00;temperature;32.40
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:01:07.872455+00:00;P2;16.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:01:07.872455+00:00;P1;16.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:01:07.872455+00:00;P0;9.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:01:20.352424+00:00;humidity;60.70
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:01:20.352424+00:00;temperature;32.10
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:03:58.042500+00:00;P2;12.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:03:58.042500+00:00;P1;13.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:03:58.042500+00:00;P0;10.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:04:10.682482+00:00;humidity;61.20
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:04:10.682482+00:00;temperature;31.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:06:48.262509+00:00;P2;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:06:48.262509+00:00;P1;15.25
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:06:48.262509+00:00;P0;9.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:07:12.062662+00:00;humidity;61.90
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:07:12.062662+00:00;temperature;31.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:10:06.897165+00:00;P2;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:10:06.897165+00:00;P1;17.25
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:10:06.897165+00:00;P0;9.75
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:10:11.637718+00:00;humidity;63.20
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:10:11.637718+00:00;temperature;31.20
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:12:49.082712+00:00;P2;15.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:12:49.082712+00:00;P1;17.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:12:49.082712+00:00;P0;11.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:13:01.465733+00:00;humidity;63.60
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:13:01.465733+00:00;temperature;31.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:15:38.757025+00:00;P2;19.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:15:38.757025+00:00;P1;23.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:15:38.757025+00:00;P0;11.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:15:51.151528+00:00;humidity;63.40
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:15:51.151528+00:00;temperature;30.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:18:28.558535+00:00;P2;19.75
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:18:28.558535+00:00;P1;20.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:18:28.558535+00:00;P0;11.25
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:18:41.122679+00:00;humidity;63.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:18:41.122679+00:00;temperature;30.80
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:21:18.712748+00:00;P2;20.67
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:21:18.712748+00:00;P1;22.33
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:21:18.712748+00:00;P0;14.33
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:21:31.522718+00:00;humidity;63.40
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:21:31.522718+00:00;temperature;30.60
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:24:09.729232+00:00;P2;25.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:24:09.729232+00:00;P1;25.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:24:09.729232+00:00;P0;15.00
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:24:22.316339+00:00;humidity;63.50
4842;DHT22;3620;6.679;-1.574;2023-10-23T17:24:22.316339+00:00;temperature;30.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:27:49.073516+00:00;P2;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:27:49.073516+00:00;P1;14.00
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:27:49.073516+00:00;P0;10.25
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:29:58.692645+00:00;P2;22.50
4841;pms5003;3620;6.679;-1.574;2023-10-23T17:29:58.692645+00:00;P1;26.00
